markname,beta,se,pval,n
c01b000015585s,-0.3618,0.1744,0.03815,2128
c01b000015644s,0.2932,0.2329,0.2082,2288
c01b000015647s,-0.04586,0.09524,0.6302,2251
c01b000015717s,-0.01842,0.1296,0.887,2238
c01b000015721s,-0.0638,0.1291,0.6211,2217
c01b000016805s,-0.1254,0.2567,0.6252,2247
c01b000016809s,-0.143,0.2232,0.5219,2249
c01b000016856s,-0.05936,0.1186,0.6167,2144
c01b000016946s,-0.1453,0.1409,0.3026,2260
c01b000016963s,-0.01454,0.2167,0.9465,2300
c01b000016968s,-0.2111,0.1581,0.182,2293
c01b000016977s,-0.1332,0.2426,0.5829,2306
c01b000016993s,-0.1832,0.1524,0.2294,2293
c01b000017041s,0.4333,0.2556,0.09013,2306
c01b000017101s,0.3496,0.2538,0.1684,2163
c01b000017147s,-0.08523,0.085,0.3161,2206
c01b000017181s,0.01987,0.2873,0.9449,2291
c01b000017375s,-0.1117,0.0928,0.2287,2273
c01b000017379s,0.07947,0.08563,0.3535,2281
