markname,beta,se,pval,n
c01b000015585s,0.08634,0.04667,0.06445,2106
c01b000015644s,-0.08975,0.06275,0.1528,2264
c01b000015647s,0.03196,0.02576,0.2148,2227
c01b000015717s,0.007013,0.03519,0.842,2215
c01b000015721s,0.006837,0.03518,0.8459,2194
c01b000016805s,0.1148,0.06954,0.09893,2223
c01b000016809s,0.1052,0.06077,0.08347,2225
c01b000016856s,0.03184,0.03213,0.3217,2121
c01b000016946s,0.008084,0.03823,0.8325,2236
c01b000016963s,-0.0429,0.05856,0.4639,2276
c01b000016968s,-0.004213,0.04269,0.9214,2269
c01b000016977s,-0.004394,0.06572,0.9467,2282
c01b000016993s,0.004035,0.04109,0.9218,2269
c01b000017041s,-0.02445,0.06928,0.7242,2282
c01b000017101s,0.05281,0.06867,0.4419,2141
c01b000017147s,-0.01479,0.02301,0.5203,2183
c01b000017181s,0.04499,0.07701,0.5591,2268
c01b000017375s,0.04172,0.02507,0.09625,2251
c01b000017379s,-0.01106,0.02306,0.6316,2258
